,종목코드,종목명,시간,종가,대비,시가,고가,저가,매도호가,매수호가,거래량,거래대금,예상체결가 구분 플래그,예상체결가,예상체결가 전일대비,예상체결수량
422,A010400,우진아이엔에스,1530,8100,90,8010,8100,7970,8100,8080,5076,4075,50,8100,90.0,44
423,A010420,한솔PNS,1530,2260,20,2230,2295,2215,2260,2255,224074,50346,50,2260,20.0,5763
424,A010580,지코,0,306,0,0,0,0,0,0,0,0,50,0,,0
425,A010600,웰바이오텍,1559,2005,-30,2020,2050,1985,2005,2000,449555,90148,50,2005,-30.0,1467
426,A010620,현대미포조선,1558,70700,-800,71700,73500,70500,70800,70700,315208,2248396,50,70700,-800.0,5849
427,A010640,진양폴리,1554,3820,-25,3825,3885,3820,3850,3820,42843,16436,50,3820,-25.0,1113
428,A010660,화천기계,1530,2730,-25,2730,2765,2695,2730,2725,80852,22049,50,2730,-25.0,3300
429,A010690,화신,1558,9030,320,8740,9110,8710,9030,9010,525604,470293,50,9030,320.0,6967
430,A010770,평화홀딩스,1551,5100,-130,5650,5700,5060,5140,5100,676450,365181,50,5100,-130.0,5249
431,A010780,아이에스동서,1530,48650,-1050,50000,50200,48400,48700,48650,100613,492797,50,48650,-1050.0,1956
432,A010820,퍼스텍,1542,2335,5,2330,2350,2295,2335,2325,177290,41034,50,2335,5.0,3481
433,A010950,S-Oil,1553,105000,1000,105500,106500,104000,105000,104500,312576,3292834,50,105000,1000.0,8728
434,A010955,S-Oil우,1559,60500,-100,61000,61300,60400,60500,60400,11743,71538,50,60500,-100.0,196
435,A010960,삼호개발,1530,5460,-10,5470,5560,5440,5470,5460,49217,26928,50,5460,-10.0,1057
436,A011000,진원생명과학,1559,34750,-500,35500,35750,34550,34800,34750,803307,2819884,50,34750,-500.0,12700
437,A011070,LG이노텍,1559,217000,1500,219500,224000,216500,217000,216500,309523,6813530,50,217000,1500.0,7377
438,A011090,에넥스,1556,2780,70,2710,2790,2650,2780,2775,1008805,275056,50,2780,70.0,29023
439,A011150,CJ씨푸드,1553,4025,0,4000,4055,4000,4030,4025,68579,27632,50,4025,0.0,1312
440,A011155,CJ씨푸드1우,1530,39750,400,39350,39750,39350,39750,39350,78,308,50,39750,400.0,25
441,A011170,롯데케미칼,1558,256000,-2500,261500,264500,255000,256500,256000,139775,3614756,50,256000,-2500.0,2792
442,A011200,HMM,1559,38050,200,38050,38450,37750,38050,38000,2112017,8026511,50,38050,200.0,73061
443,A011210,현대위아,1559,82000,-1000,83700,83900,81600,82000,81900,122316,1008382,50,82000,-1000.0,4562
444,A011230,삼화전자,1552,4600,405,4200,4890,4200,4600,4595,2262418,1037401,50,4600,405.0,36304
